file,qualified_name,kind,lineno,end_lineno,length,cyclomatic_complexity,max_nesting,arg_count,has_docstring
src/api_main.py,lifespan,function,34,51,18,2,1,1,True
src/api_main.py,request_context_and_access_log,function,63,95,33,3,1,2,False
src/api_main.py,healthz,function,99,100,2,1,0,0,False
src/api_main.py,debug_routes,function,104,116,13,3,1,1,False
src/api_main.py,_validation_exception_handler,function,120,123,4,1,0,2,False
src/api_main.py,_http_exception_handler,function,127,130,4,1,0,2,False
src/api_main.py,_unhandled_exception_handler,function,134,138,5,1,0,2,False
src/api_main.py,_mount_api_v2,function,141,181,41,8,4,0,True
src/api_main.py,api_v2_fallback,function,194,199,6,1,0,2,False
src/api_v2.py,_request_id,function,34,35,2,2,0,1,False
src/api_v2.py,_detail,function,38,45,8,1,0,4,False
src/api_v2.py,_raise,function,48,49,2,1,0,4,False
src/api_v2.py,_is_db_locked,function,52,56,5,4,1,1,False
src/api_v2.py,_handle_db_exc,function,59,71,13,2,1,4,False
src/api_v2.py,_require_valid_user,function,74,76,3,2,1,2,False
src/api_v2.py,_normalize_context,function,79,83,5,3,1,1,False
src/api_v2.py,_validate_context,function,86,92,7,3,1,2,False
src/api_v2.py,init_ontology,function,99,148,50,9,2,0,True
src/api_v2.py,require_api_key,function,155,168,14,7,1,2,False
src/api_v2.py,db_conn,function,171,175,5,1,0,0,False
src/api_v2.py,_slugify,function,178,191,14,2,0,1,False
src/api_v2.py,_safe_under,function,194,203,10,3,2,2,False
src/api_v2.py,_decode_image_base64,function,206,215,10,4,2,1,False
src/api_v2.py,_normalize_image_to_jpg,function,218,224,7,1,0,1,False
src/api_v2.py,_rmtree_robust,function,227,269,43,10,4,2,False
src/api_v2.py,_make_writable,function,235,239,5,2,1,1,False
src/api_v2.py,_onerror,function,241,246,6,2,1,3,False
src/api_v2.py,_onexc,function,248,253,6,2,1,3,False
src/api_v2.py,_ontology_apply,function,276,311,36,10,1,3,False
src/api_v2.py,_derive_color_variant_and_review,function,314,330,17,11,1,3,False
src/api_v2.py,health,function,447,448,2,1,0,0,False
src/api_v2.py,_row_to_item,function,451,479,29,9,1,2,False
src/api_v2.py,list_items,function,483,522,40,6,2,2,False
src/api_v2.py,review_queue,function,526,588,63,11,3,4,False
src/api_v2.py,get_item,function,592,612,21,4,2,2,False
src/api_v2.py,create_item,function,616,767,152,17,3,2,False
src/api_v2.py,validate_item,function,771,851,81,9,1,2,False
src/api_v2.py,update_item,function,855,1057,203,43,6,3,False
src/api_v2.py,delete_item,function,1061,1154,94,26,3,2,False
src/category_map.py,_fold_de,function,184,195,12,2,0,1,False
src/category_map.py,_words_blob,function,198,201,4,2,0,1,False
src/category_map.py,normalize_filter_key,function,204,222,19,7,2,1,False
src/category_map.py,category_group_for_internal,function,225,228,4,2,1,1,False
src/category_map.py,infer_internal_category,function,231,344,114,65,1,2,False
src/category_map.py,display_category_label,function,347,355,9,4,1,2,False
src/category_map.py,admin_option_groups,function,358,364,7,3,1,0,False
src/check_db.py,check_inventory,function,8,54,47,7,2,0,False
src/database_manager.py,reset_database,function,7,45,39,3,2,0,False
src/db_schema.py,_table_exists,function,103,105,3,1,0,2,False
src/db_schema.py,_table_columns,function,108,111,4,2,0,2,False
src/db_schema.py,ensure_schema,function,114,199,86,15,5,3,True
src/error_contract.py,error_code_for_status,function,7,27,21,3,1,1,True
src/error_contract.py,error_class_for_status,function,30,40,11,3,1,1,True
src/error_contract.py,normalize_detail,function,43,62,20,3,2,3,True
src/error_contract.py,validation_detail,function,65,84,20,3,2,2,False
src/export_db.py,export_to_json,function,10,29,20,3,1,0,False
src/ingest_wardrobe.py,_now_s,function,53,54,2,1,0,0,False
src/ingest_wardrobe.py,_read_text_files,function,57,65,9,5,3,1,False
src/ingest_wardrobe.py,_list_image_files,function,68,73,6,4,2,1,False
src/ingest_wardrobe.py,_folder_signature_fingerprint,function,76,97,22,5,2,1,True
src/ingest_wardrobe.py,_encode_bytes,function,100,101,2,1,0,1,False
src/ingest_wardrobe.py,_image_to_data_url,function,104,136,33,6,2,1,False
src/ingest_wardrobe.py,_get_openai_client,function,139,144,6,2,1,0,False
src/ingest_wardrobe.py,analyze_item_hybrid,function,147,183,37,5,2,4,False
src/ingest_wardrobe.py,_fake_ai,function,186,198,13,1,0,2,False
src/ingest_wardrobe.py,_connect_ro,function,201,204,4,1,0,0,False
src/ingest_wardrobe.py,_db_get_by_fingerprint,function,207,213,7,1,0,3,False
src/ingest_wardrobe.py,_db_claim_pending,function,216,248,33,3,2,6,True
src/ingest_wardrobe.py,_db_mark_ok,function,251,285,35,1,0,4,False
src/ingest_wardrobe.py,_db_mark_failed,function,288,294,7,1,0,4,False
src/ingest_wardrobe.py,_robust_rmtree,function,297,329,33,6,1,1,False
src/ingest_wardrobe.py,_make_writable,function,303,307,5,2,1,1,False
src/ingest_wardrobe.py,_onerror,function,309,314,6,2,1,3,False
src/ingest_wardrobe.py,_onexc,function,316,321,6,2,1,3,False
src/ingest_wardrobe.py,robust_move,function,332,346,15,5,3,4,False
src/ingest_wardrobe.py,parse_args,function,349,379,31,1,0,1,False
